DST_CHAIN,CHAIN
42161,arbitrum
56,bnb
100,gnosis
250,fantom
324,zksync
10,optimism
59144,linea
5000,mantle
1088,Unknown
81457,Unknown
1151111081099710,solana
1101,pol zkevm
8453,base
43114,avalanche
1,ethereum
34443,mode
30,Unknown
534352,scroll
﻿
